iter	Passed	Remaining
887	9368	1181
888	9380	1171
889	9389	1160
890	9399	1149
891	9410	1139
892	9419	1128
893	9429	1118
894	9440	1107
895	9449	1096
896	9458	1086
897	9469	1075
898	9478	1064
899	9488	1054
900	9498	1043
901	9508	1033
902	9516	1022
903	9524	1011
904	9537	1001
905	9546	990
906	9557	980
907	9568	969
908	9577	958
909	9587	948
910	9599	937
911	9609	927
912	9618	916
913	9627	905
914	9635	895
915	9644	884
916	9653	873
917	9663	863
918	9672	852
919	9681	841
920	9689	831
921	9699	820
922	9707	809
923	9717	799
924	9725	788
925	9735	778
926	9744	767
927	9753	756
928	9764	746
929	9775	735
930	9784	725
931	9794	714
932	9804	704
933	9814	693
934	9825	683
935	9837	672
936	9849	662
937	9858	651
938	9868	641
939	9879	630
940	9888	619
941	9898	609
942	9907	598
943	9916	588
944	9924	577
945	9933	567
946	9943	556
947	9953	545
948	9963	535
949	9971	524
950	9982	514
951	9994	503
952	10004	493
953	10013	482
954	10022	472
955	10033	461
956	10043	451
957	10052	440
958	10061	430
959	10071	419
960	10081	409
961	10089	398
962	10100	388
963	10110	377
964	10120	367
965	10131	356
966	10142	346
967	10151	335
968	10160	325
969	10168	314
970	10178	303
971	10189	293
972	10200	283
973	10210	272
974	10219	262
975	10229	251
976	10240	241
977	10249	230
978	10259	220
979	10269	209
980	10279	199
981	10289	188
982	10298	178
983	10307	167
984	10317	157
985	10327	146
986	10338	136
987	10349	125
988	10359	115
989	10368	104
990	10376	94
991	10388	83
992	10399	73
993	10411	62
994	10419	52
995	10429	41
996	10439	31
997	10449	20
998	10461	10
999	10471	0
